无人机编号,机型,架次编号,开始时刻（s）,返航时刻（s）
U01,A,T005,0.0,2221.4616726129198
U01,A,T016,3357.6358419817507,5053.395167225513
U02,A,T006,0.0,2785.580912827795
U02,A,T017,3386.2593296249897,5880.447057345155
U03,A,T007,0.0,2011.052935022607
U03,A,T013,2011.052935022607,4232.514607635527
U03,A,T020,4232.514607635527,6494.793272032244
U04,A,T008,0.0,2011.052935022607
U04,A,T014,2011.052935022607,4273.3315994193235
U04,A,T021,4302.540802687273,6504.819467083989
U05,B,T003,0.0,1554.5722391614418
U05,B,T010,1554.5722391614418,3399.11212583257
U05,B,T018,3399.11212583257,5567.47742383357
U06,B,T004,0.0,1500.9702855348519
U06,B,T009,1500.9702855348519,3444.996092111448
U06,B,T019,3444.996092111448,5274.570193127457
U06,B,T023,5274.570193127457,6464.200997691943
U07,C,T001,0.0,1561.4267416985467
U07,C,T011,1561.4267416985467,4315.058956837352
U07,C,T022,4315.058956837352,6443.1880112958415
U08,C,T002,0.0,1565.0356687212288
U08,C,T012,1565.0356687212288,3192.4624104197756
U08,C,T015,3192.4624104197756,5778.253130274187
