货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-MED-01,T001,S001,1248.8983708492733
S001-MED-02,T001,S001,1248.8983708492733
S001-WAT-01,T001,S001,1248.8983708492733
S001-WAT-02,T001,S001,1248.8983708492733
S001-WAT-03,T001,S001,1248.8983708492733
S001-WAT-04,T001,S001,1248.8983708492733
S001-WAT-05,T001,S001,1248.8983708492733
S006-FOD-01,T002,S006,1211.1628343606144
S006-HYG-01,T002,S006,1211.1628343606144
S006-MED-01,T002,S006,1211.1628343606144
S006-WAT-01,T002,S006,1211.1628343606144
S006-WAT-02,T002,S006,1211.1628343606144
S006-WAT-03,T002,S006,1211.1628343606144
S007-FOD-01,T003,S007,2899.9993622658744
S007-HYG-01,T003,S007,2899.9993622658744
S007-MED-01,T003,S007,2899.9993622658744
S007-WAT-01,T003,S007,2899.9993622658744
S007-WAT-02,T003,S007,2899.9993622658744
S010-FOD-01,T004,S010,1084.8227862473875
S010-MED-01,T004,S010,1084.8227862473875
S010-WAT-01,T004,S010,1084.8227862473875
S013-FOD-01,T005,S013,1058.0184761007592
S013-MED-01,T005,S013,1058.0184761007592
S013-WAT-01,T005,S013,1058.0184761007592
S012-FOD-01,T006,S012,2782.91318882315
S012-MED-01,T006,S012,2782.91318882315
S012-WAT-01,T006,S012,2782.91318882315
S014-FOD-01,T007,S014,2784.398849163673
S014-MED-01,T007,S014,2784.398849163673
S014-WAT-01,T007,S014,2784.398849163673
S002-MED-01,T008,S002,1287.4664675113036
S002-WAT-01,T008,S002,1287.4664675113036
S001-FOD-01,T009,S001,2879.934039570502
S001-FOD-02,T009,S001,2879.934039570502
S001-FOD-03,T009,S001,2879.934039570502
S001-HYG-01,T009,S001,2879.934039570502
S001-HYG-02,T009,S001,2879.934039570502
S001-WAT-06,T009,S001,2879.934039570502
S001-WAT-07,T009,S001,2879.934039570502
S001-WAT-08,T009,S001,2879.934039570502
S002-WAT-02,T010,S002,1227.4664675113036
S002-WAT-03,T011,S002,1227.4664675113036
S002-WAT-04,T012,S002,1227.4664675113036
S004-FOD-01,T013,S004,4778.025156153672
S004-HYG-01,T013,S004,4778.025156153672
S004-MED-01,T013,S004,4778.025156153672
S004-WAT-01,T013,S004,4778.025156153672
S004-WAT-02,T013,S004,4778.025156153672
S004-WAT-03,T013,S004,4778.025156153672
S005-FOD-01,T014,S005,4711.309791381228
S005-HYG-01,T014,S005,4711.309791381228
S008-FOD-01,T014,S008,5391.153475060363
S008-HYG-01,T014,S008,5391.153475060363
S008-MED-01,T014,S008,5391.153475060363
S008-WAT-01,T014,S008,5391.153475060363
S008-WAT-02,T014,S008,5391.153475060363
S015-FOD-01,T015,S015,4617.339176340574
S015-MED-01,T015,S015,4617.339176340574
S015-WAT-01,T015,S015,4617.339176340574
S003-MED-01,T016,S003,3360.165600554299
S003-WAT-01,T016,S003,3360.165600554299
S003-FOD-01,T017,S003,7143.01333094378
S003-FOD-02,T017,S003,7143.01333094378
S003-HYG-01,T017,S003,7143.01333094378
S003-WAT-02,T017,S003,7143.01333094378
S003-WAT-03,T017,S003,7143.01333094378
S003-WAT-04,T017,S003,7143.01333094378
S002-FOD-02,T018,S002,4608.5412509837715
S002-HYG-01,T018,S002,4608.5412509837715
S002-FOD-01,T019,S002,3178.5194025339106
S005-MED-01,T020,S005,7828.641583937446
S005-WAT-01,T020,S005,7828.641583937446
S005-WAT-02,T020,S005,7828.641583937446
S005-WAT-03,T020,S005,7828.641583937446
S011-FOD-01,T020,S011,7184.8836971337
S011-MED-01,T020,S011,7184.8836971337
S011-WAT-01,T020,S011,7184.8836971337
S009-FOD-01,T021,S009,6300.186305129651
S009-MED-01,T021,S009,6300.186305129651
S009-WAT-01,T021,S009,6300.186305129651
