无人机编号,机型,架次编号,开始时刻（s）,返航时刻（s）
U01,A,T005,0.0,2281.4616726129198
U02,A,T006,0.0,2011.052935022607
U02,A,T013,2011.052935022607,4273.3315994193235
U03,A,T007,0.0,2011.052935022607
U04,A,T008,0.0,2221.4616726129198
U05,B,T003,0.0,1554.5722391614418
U05,B,T010,1554.5722391614418,3399.11212583257
U05,B,T015,3399.11212583257,5228.686226848579
U05,B,T018,5228.686226848579,7154.458662896448
U06,B,T004,0.0,1500.9702855348519
U06,B,T009,1500.9702855348519,3444.996092111448
U06,B,T016,3444.996092111448,5669.717431341147
U06,B,T020,5669.717431341147,7655.489867389016
U07,C,T001,0.0,1627.4267416985467
U07,C,T012,1627.4267416985467,3188.8534833970934
U07,C,T014,3188.8534833970934,5382.982537855583
U07,C,T019,5382.982537855583,7803.789956673524
U08,C,T002,0.0,1565.0356687212288
U08,C,T011,1565.0356687212288,3923.933481846284
U08,C,T017,3923.933481846284,6359.74433995871
